Frecuencia,Magnitud,Unnamed: 2,Latitude,Longitude,Altitude_m,Location,Unnamed: 3,Unnamed: 4
87400000,"69,3441543579102",,7.141012,-73.11953,1021.5,,,
"87433333,3333333","70,4489288330078",,7.141012,-73.11953,1021.5,,,
"87466666,6666667","68,367561340332",,7.141012,-73.11953,1021.5,,,
87500000,"70,5709991455078",,7.141012,-73.11953,1021.5,,,
"87533333,3333333","72,060302734375",,7.141012,-73.11953,1021.5,,,
"87566666,6666667","70,6686630249023",,7.141012,-73.11953,1021.5,,,
87600000,"67,9769287109375",,7.141012,-73.11953,1021.5,,,
"87633333,3333333","67,1407241821289",,7.141012,-73.11953,1021.5,,,
"87666666,6666667","68,5506744384766",,7.141012,-73.11953,1021.5,,,
87700000,"68,4530181884766",,7.141012,-73.11953,1021.5,,,
"87733333,3333333","67,9281005859375",,7.141012,-73.11953,1021.5,,,
"87766666,6666667","67,769401550293",,7.141012,-73.11953,1021.5,,,
87800000,"69,4540252685547",,7.141012,-73.11953,1021.5,,,
"87833333,3333333","69,2098770141602",,7.141012,-73.11953,1021.5,,,
"87866666,6666667","68,233283996582",,7.141012,-73.11953,1021.5,,,
87900000,"68,1051025390625",,7.141012,-73.11953,1021.5,,,
"87933333,3333333","70,4550323486328",,7.141012,-73.11953,1021.5,,,
"87966666,6666667","70,4855499267578",,7.141012,-73.11953,1021.5,,,
88000000,"72,8171615600586",,7.141012,-73.11953,1021.5,,,
"88033333,3333333","73,4092254638672",,7.141012,-73.11953,1021.5,,,
"88066666,6666667","70,5038604736328",,7.141012,-73.11953,1021.5,,,
88100000,"72,5180816650391",,7.141012,-73.11953,1021.5,,,
"88133333,3333333","71,2363052368164",,7.141012,-73.11953,1021.5,,,
"88166666,6666667","70,9494323730469",,7.141012,-73.11953,1021.5,,,
88200000,"72,9392395019531",,7.141012,-73.11953,1021.5,,,
"88233333,3333333","73,7449264526367",,7.141012,-73.11953,1021.5,,,
"88266666,6666667","73,9341430664063",,7.141012,-73.11953,1021.5,,,
88300000,"72,5424957275391",,7.141012,-73.11953,1021.5,,,
"88333333,3333333","72,6279525756836",,7.141012,-73.11953,1021.5,,,
"88366666,6666667","75,2708511352539",,7.141012,-73.11953,1021.5,,,
88400000,"69,8019332885742",,7.141012,-73.11953,1021.5,,,
"88433333,3333333","70,6930770874023",,7.141012,-73.11953,1021.5,,,
"88466666,6666667","69,5089569091797",,7.141012,-73.11953,1021.5,,,
88500000,"72,109130859375",,7.141012,-73.11953,1021.5,,,
"88533333,3333333","70,1376419067383",,7.141012,-73.11953,1021.5,,,
"88566666,6666667","69,8568649291992",,7.141012,-73.11953,1021.5,,,
88600000,"72,6157379150391",,7.141012,-73.11953,1021.5,,,
"88633333,3333333","73,4702606201172",,7.141012,-73.11953,1021.5,,,
"88666666,6666667","72,2373123168945",,7.141012,-73.11953,1021.5,,,
88700000,"73,3542861938477",,7.141012,-73.11953,1021.5,,,
"88733333,3333333","71,1630630493164",,7.141012,-73.11953,1021.5,,,
"88766666,6666667","72,9331359863281",,7.141012,-73.11953,1021.5,,,
88800000,"72,084716796875",,7.141012,-73.11953,1021.5,,,
"88833333,3333333","74,3919219970703",,7.141012,-73.11953,1021.5,,,
"88866666,6666667","72,4997711181641",,7.141012,-73.11953,1021.5,,,
88900000,"72,1945877075195",,7.141012,-73.11953,1021.5,,,
"88933333,3333333","76,8456039428711",,7.141012,-73.11953,1021.5,,,
"88966666,6666667","72,8965148925781",,7.141012,-73.11953,1021.5,,,
89000000,"73,4458465576172",,7.141012,-73.11953,1021.5,,,
"89033333,3333333","74,3980255126953",,7.141012,-73.11953,1021.5,,,
"89066666,6666667","69,6432418823242",,7.141012,-73.11953,1021.5,,,
89100000,"67,4031829833984",,7.141012,-73.11953,1021.5,,,
"89133333,3333333","71,4133148193359",,7.141012,-73.11953,1021.5,,,
"89166666,6666667","70,7113876342773",,7.141012,-73.11953,1021.5,,,
89200000,"71,8527755737305",,7.141012,-73.11953,1021.5,,,
"89233333,3333333","72,096923828125",,7.141012,-73.11953,1021.5,,,
"89266666,6666667","70,3024368286133",,7.141012,-73.11953,1021.5,,,
89300000,"70,8151473999023",,7.141012,-73.11953,1021.5,,,
"89333333,3333333","68,4713287353516",,7.141012,-73.11953,1021.5,,,
"89366666,6666667","68,8253402709961",,7.141012,-73.11953,1021.5,,,
89400000,"69,1366348266602",,7.141012,-73.11953,1021.5,,,
"89433333,3333333","70,4062042236328",,7.141012,-73.11953,1021.5,,,
"89466666,6666667","68,8009262084961",,7.141012,-73.11953,1021.5,,,
89500000,"71,5597991943359",,7.141012,-73.11953,1021.5,,,
"89533333,3333333","72,1945877075195",,7.141012,-73.11953,1021.5,,,
"89566666,6666667","69,9057006835938",,7.141012,-73.11953,1021.5,,,
89600000,"71,0959167480469",,7.141012,-73.11953,1021.5,,,
"89633333,3333333","70,3573684692383",,7.141012,-73.11953,1021.5,,,
"89666666,6666667","72,3654861450195",,7.141012,-73.11953,1021.5,,,
89700000,"72,05419921875",,7.141012,-73.11953,1021.5,,,
"89733333,3333333","71,1508560180664",,7.141012,-73.11953,1021.5,,,
"89766666,6666667","72,4021148681641",,7.141012,-73.11953,1021.5,,,
89800000,"74,0012817382813",,7.141012,-73.11953,1021.5,,,
"89833333,3333333","75,1854019165039",,7.141012,-73.11953,1021.5,,,
"89866666,6666667","73,8120651245117",,7.141012,-73.11953,1021.5,,,
89900000,"73,1528701782227",,7.141012,-73.11953,1021.5,,,
"89933333,3333333","73,7449264526367",,7.141012,-73.11953,1021.5,,,
"89966666,6666667","74,4712677001953",,7.141012,-73.11953,1021.5,,,
90000000,"74,0928344726563",,7.141012,-73.11953,1021.5,,,
"90033333,3333333","73,6960983276367",,7.141012,-73.11953,1021.5,,,
"90066666,6666667","73,3664932250977",,7.141012,-73.11953,1021.5,,,
90100000,"73,7510299682617",,7.141012,-73.11953,1021.5,,,
"90133333,3333333","73,0552062988281",,7.141012,-73.11953,1021.5,,,
"90166666,6666667","74,6360702514648",,7.141012,-73.11953,1021.5,,,
90200000,"73,7998580932617",,7.141012,-73.11953,1021.5,,,
"90233333,3333333","74,4224395751953",,7.141012,-73.11953,1021.5,,,
"90266666,6666667","75,6126556396484",,7.141012,-73.11953,1021.5,,,
90300000,"76,5587310791016",,7.141012,-73.11953,1021.5,,,
"90333333,3333333","76,7845687866211",,7.141012,-73.11953,1021.5,,,
"90366666,6666667","76,180305480957",,7.141012,-73.11953,1021.5,,,
90400000,"76,9615783691406",,7.141012,-73.11953,1021.5,,,
"90433333,3333333","77,0531311035156",,7.141012,-73.11953,1021.5,,,
"90466666,6666667","78,6828231811523",,7.141012,-73.11953,1021.5,,,
90500000,"79,6288986206055",,7.141012,-73.11953,1021.5,,,
"90533333,3333333","81,5881805419922",,7.141012,-73.11953,1021.5,,,
"90566666,6666667","83,1507339477539",,7.141012,-73.11953,1021.5,,,
90600000,"83,663444519043",,7.141012,-73.11953,1021.5,,,
"90633333,3333333","83,0774841308594",,7.141012,-73.11953,1021.5,,,
"90666666,6666667","86,4650421142578",,7.141012,-73.11953,1021.5,,,
90700000,"86,4467315673828",,7.141012,-73.11953,1021.5,,,
"90733333,3333333","87,0204772949219",,7.141012,-73.11953,1021.5,,,
"90766666,6666667","86,2941360473633",,7.141012,-73.11953,1021.5,,,
90800000,"85,3114395141602",,7.141012,-73.11953,1021.5,,,
"90833333,3333333","85,6471481323242",,7.141012,-73.11953,1021.5,,,
"90866666,6666667","82,7051620483398",,7.141012,-73.11953,1021.5,,,
90900000,"84,347053527832",,7.141012,-73.11953,1021.5,,,
"90933333,3333333","81,6431198120117",,7.141012,-73.11953,1021.5,,,
"90966666,6666667","81,4661102294922",,7.141012,-73.11953,1021.5,,,
91000000,"80,025634765625",,7.141012,-73.11953,1021.5,,,
"91033333,3333333","74,0134887695313",,7.141012,-73.11953,1021.5,,,
"91066666,6666667","74,7947616577148",,7.141012,-73.11953,1021.5,,,
91100000,"72,4570465087891",,7.141012,-73.11953,1021.5,,,
"91133333,3333333","70,5893096923828",,7.141012,-73.11953,1021.5,,,
"91166666,6666667","72,7805404663086",,7.141012,-73.11953,1021.5,,,
91200000,"67,9403076171875",,7.141012,-73.11953,1021.5,,,
"91233333,3333333","65,1142883300781",,7.141012,-73.11953,1021.5,,,
"91266666,6666667","76,3939361572266",,7.141012,-73.11953,1021.5,,,
91300000,"78,8537216186523",,7.141012,-73.11953,1021.5,,,
"91333333,3333333","80,6848373413086",,7.141012,-73.11953,1021.5,,,
"91366666,6666667","81,1670303344727",,7.141012,-73.11953,1021.5,,,
91400000,"80,7519760131836",,7.141012,-73.11953,1021.5,,,
"91433333,3333333","86,0744018554688",,7.141012,-73.11953,1021.5,,,
"91466666,6666667","89,7671432495117",,7.141012,-73.11953,1021.5,,,
91500000,"92,5321197509766",,7.141012,-73.11953,1021.5,,,
"91533333,3333333","94,3449172973633",,7.141012,-73.11953,1021.5,,,
"91566666,6666667","96,053955078125",,7.141012,-73.11953,1021.5,,,
91600000,"97,0549621582031",,7.141012,-73.11953,1021.5,,,
"91633333,3333333","95,2787857055664",,7.141012,-73.11953,1021.5,,,
"91666666,6666667","100,436416625977",,7.141012,-73.11953,1021.5,,,
91700000,"100,735496520996",,7.141012,-73.11953,1021.5,,,
"91733333,3333333","99,783317565918",,7.141012,-73.11953,1021.5,,,
"91766666,6666667","94,2045364379883",,7.141012,-73.11953,1021.5,,,
91800000,"94,0275268554688",,7.141012,-73.11953,1021.5,,,
"91833333,3333333","94,1007690429688",,7.141012,-73.11953,1021.5,,,
"91866666,6666667","98,6297225952148",,7.141012,-73.11953,1021.5,,,
91900000,"98,6724472045898",,7.141012,-73.11953,1021.5,,,
"91933333,3333333","96,5361480712891",,7.141012,-73.11953,1021.5,,,
"91966666,6666667","95,8281173706055",,7.141012,-73.11953,1021.5,,,
92000000,"94,5463409423828",,7.141012,-73.11953,1021.5,,,
"92033333,3333333","93,6857223510742",,7.141012,-73.11953,1021.5,,,
"92066666,6666667","93,6002655029297",,7.141012,-73.11953,1021.5,,,
92100000,"94,6623153686523",,7.141012,-73.11953,1021.5,,,
"92133333,3333333","95,2726821899414",,7.141012,-73.11953,1021.5,,,
"92166666,6666667","97,3235244750977",,7.141012,-73.11953,1021.5,,,
92200000,"98,1780471801758",,7.141012,-73.11953,1021.5,,,
"92233333,3333333","99,2950210571289",,7.141012,-73.11953,1021.5,,,
"92266666,6666667","99,9542236328125",,7.141012,-73.11953,1021.5,,,
92300000,"99,9969482421875",,7.141012,-73.11953,1021.5,,,
"92333333,3333333","100,100708007813",,7.141012,-73.11953,1021.5,,,
"92366666,6666667","99,746696472168",,7.141012,-73.11953,1021.5,,,
92400000,"99,3316421508789",,7.141012,-73.11953,1021.5,,,
"92433333,3333333","98,8189315795898",,7.141012,-73.11953,1021.5,,,
"92466666,6666667","97,7263717651367",,7.141012,-73.11953,1021.5,,,
92500000,"97,3540420532227",,7.141012,-73.11953,1021.5,,,
"92533333,3333333","95,1994400024414",,7.141012,-73.11953,1021.5,,,
"92566666,6666667","93,9664916992188",,7.141012,-73.11953,1021.5,,,
92600000,"92,287971496582",,7.141012,-73.11953,1021.5,,,
"92633333,3333333","90,1760940551758",,7.141012,-73.11953,1021.5,,,
"92666666,6666667","89,1018371582031",,7.141012,-73.11953,1021.5,,,
92700000,"88,0458984375",,7.141012,-73.11953,1021.5,,,
"92733333,3333333","88,021484375",,7.141012,-73.11953,1021.5,,,
"92766666,6666667","90,0723266601563",,7.141012,-73.11953,1021.5,,,
92800000,"89,4314422607422",,7.141012,-73.11953,1021.5,,,
"92833333,3333333","90,6888046264648",,7.141012,-73.11953,1021.5,,,
"92866666,6666667","92,129280090332",,7.141012,-73.11953,1021.5,,,
92900000,"91,3602066040039",,7.141012,-73.11953,1021.5,,,
"92933333,3333333","92,6969223022461",,7.141012,-73.11953,1021.5,,,
"92966666,6666667","92,355110168457",,7.141012,-73.11953,1021.5,,,
93000000,"91,824089050293",,7.141012,-73.11953,1021.5,,,
"93033333,3333333","91,3418960571289",,7.141012,-73.11953,1021.5,,,
"93066666,6666667","90,7986679077148",,7.141012,-73.11953,1021.5,,,
93100000,"90,8474960327148",,7.141012,-73.11953,1021.5,,,
"93133333,3333333","89,2300186157227",,7.141012,-73.11953,1021.5,,,
"93166666,6666667","89,6633834838867",,7.141012,-73.11953,1021.5,,,
93200000,"90,6155548095703",,7.141012,-73.11953,1021.5,,,
"93233333,3333333","90,1028442382813",,7.141012,-73.11953,1021.5,,,
"93266666,6666667","90,3042678833008",,7.141012,-73.11953,1021.5,,,
93300000,"91,9949951171875",,7.141012,-73.11953,1021.5,,,
"93333333,3333333","91,8973388671875",,7.141012,-73.11953,1021.5,,,
