n_logdistance,azimut_TX_deg,useBuildings,maxExtraLoss_dB,correccion_global_dB,MAE_cal_dB,RMSE_cal_dB,Bias_cal_dB,STD_cal_dB,N_cal,MAE_val_dB,RMSE_val_dB,Bias_val_dB,STD_val_dB,N_val,MAE_all_dB,RMSE_all_dB,Bias_all_dB,STD_all_dB,N_all
2.95,336,1,9,23.5980755394071,2.25467984394838,2.66180428856013,2.368475785867e-15,2.91586050501675,6,NaN,NaN,NaN,NaN,0,2.25467984394838,2.66180428856013,2.368475785867e-15,2.91586050501675,6
2.9,336,1,9,22.5233932373316,2.27008699139264,2.66195406335304,0,2.916024575082,6,NaN,NaN,NaN,NaN,0,2.27008699139264,2.66195406335304,0,2.916024575082,6
3,336,1,9,24.6727578414825,2.23927269650411,2.66413863966698,-4.736951571734e-15,2.91841765853346,6,NaN,NaN,NaN,NaN,0,2.23927269650411,2.66413863966698,-4.736951571734e-15,2.91841765853346,6
2.85,336,1,9,21.4487109352562,2.28549413883691,2.66458754515229,2.368475785867e-15,2.91890940985445,6,NaN,NaN,NaN,NaN,0,2.28549413883691,2.66458754515229,2.368475785867e-15,2.91890940985445,6
2.9,338,1,9,22.2822765163342,2.2718065973717,2.66710392020938,0,2.92166596061827,6,NaN,NaN,NaN,NaN,0,2.2718065973717,2.66710392020938,0,2.92166596061827,6
2.85,338,1,9,21.2075942142587,2.28721374481596,2.66760489803899,0,2.92221475433445,6,NaN,NaN,NaN,NaN,0,2.28721374481596,2.66760489803899,0,2.92221475433445,6
3.05,336,1,9,25.747440143558,2.22386554905984,2.66895059858933,2.368475785867e-15,2.92368889542858,6,NaN,NaN,NaN,NaN,0,2.22386554905984,2.66895059858933,2.368475785867e-15,2.92368889542858,6
2.95,338,1,9,23.3569588184096,2.25639944992743,2.66908237713358,-2.368475785867e-15,2.92383325159115,6,NaN,NaN,NaN,NaN,0,2.25639944992743,2.66908237713358,-2.368475785867e-15,2.92383325159115,6
2.8,336,1,9,20.3740286331807,2.30090128628119,2.66969738392461,-2.368475785867e-15,2.92450695777608,6,NaN,NaN,NaN,NaN,0,2.30090128628119,2.66969738392461,-2.368475785867e-15,2.92450695777608,6
2.8,338,1,9,20.1329119121833,2.30262089226024,2.67058391526296,-2.368475785867e-15,2.92547810419998,6,NaN,NaN,NaN,NaN,0,2.30262089226024,2.67058391526296,-2.368475785867e-15,2.92547810419998,6
2.85,336,1,6,18.5670548042768,2.2636098929187,2.67238603802912,-2.368475785867e-15,2.92745223078081,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,-2.368475785867e-15,2.92745223078081,6
2.85,336,0,0,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,0,3,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,0,6,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,0,9,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,0,12,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,0,15,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,1,0,12.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.85,336,1,3,15.5670548042768,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6,NaN,NaN,NaN,NaN,0,2.2636098929187,2.67238603802912,2.368475785867e-15,2.92745223078082,6
2.8,336,0,0,11.4923725022014,2.27901704036298,2.67348495765726,2.368475785867e-15,2.92865603691925,6,NaN,NaN,NaN,NaN,0,2.27901704036298,2.67348495765726,2.368475785867e-15,2.92865603691925,6
